دار	d ɑ r
اتلس	a t̪ ə l a s
ګنده	s x ɑ
ځار	d͡z ɑ r
مخالفت	m x a l f t
پنځلس	p i n d z ə l a s
ویجاړونکی	w iː d͡ʒ ɑː ɻ o n k i
حل	h l
ټوکو	ʈ w k u
ویښتان	v iː ʂ t ɑː n
که	k ə
يې	j e
نوملړ	n u m l a ɻ
تخمونه	t ə x m u n ə
سوله	s u l h a
لوردر	l o r d ə r
البانيا	a l b ɑ n j ɑ
ګړدود	ɡ ə ɻ d̪ o d̪
دعوه	d̪ ɑ w a
غوښتنې	ɣ o x t ə n e
معمولاًاغوندي	m ʕ ə m u l ɑ ɣ o n d̪ i
غوا	ɣ w ɑ
تقریبا	t ə q r i b ɑ
سړو	s ʊ r o
کاروان	k a r w a n
وروسته	w ə r uː s t ə h
ژر	ʐ ɾ
نفرت	n ʊ f r ʊ t
عجبه	ʕ ə d͡ʒ b ə
سور	s u r
ماشییو	m ɑ ʃ i j o
پوهیږي	p oː h iː ʐ iː
تکیه	t̪ ə k i j ə
زوړ	z o ɻ
ډبلده	ɖ b ə l d ə h
عثمانیانو	ʕ o s m ɑ n i ɑ n o
منشي	m ə n ʃ i
املوک	a m l u k
نشي	n ʂ i
الوبالو	a l u b ɑ l u
بد	b ə d
پوهنتونو	p o h n ə t o n o
څوارلس	t s w ɑ r l a s
سودا	s o d̪ ɑ
وريجې	w r i d͡ʒ e
نفرت	n ə f r ə t
اخته	a x t̪ a
وئ	w ə i
کومی	k u m a i
یلد	j l d
مننې	m ə n ə n e
احمده	ɑː h m ə d ə
درجې	d ə r d͡ʒ e
خدمتګارانې	x ə d ə m t ɡ ɑ r ɑ n e
راټولیږي	r ɑː ʈ oː l iː ʐ iː
پسرل	p s r l
رایستل	r ɑ j s t ə l
اختلالات	ʔ x t l ɑ l ɑ t
سبب	s ə b ə b
درنه	d̪ r ə n a
هوښيارزیرک	h o ʈ͡ʂ j a r z i r k
حلدینود	ħ l d i n o d
پوليس	p o l i s
غوږونه	ɣ w ʐ w n ə
اخ	a x
اوسې	ɑ w s e
معمولاًاغوندي	m ʕ ə m uː l ɑ ɣ uː n d i
یلد	j ə l d̪
ايغلو	i ɣ l u
پوهې	p o h e
ځلانده	ʐ l ɑ n d ə
شی	ʃ i
بریالۍ	b r ɪ j ɑ l ə i
وزن	w z n
بیه	b iː h
اپارتمان	ɑ p ɑ ɾ t̪ m ɑ n
ايستل	i s t ə l
پرتوګ	p a r t̪ u ɡ
ډګه	ɖ a ɡ a
عقلۍ	ʕ q l ə i̯
ویج	uː iː d͡ʒ
اواز	o w ɑ z
څاوار	t͡s ɑ w ɑ r
ابادول	a b ɑ d̪ a w ə l
تياره	t̪ iː ɑ ɾ ə
شا	ʃ ɑː
بریا	b r iː ɑː
وویلدا	w o i l d̪ ɑ
خرسیو	x r s i w
وېرېږم	w e r e ʐ m
پوستکي	p o s t̪ k i
بوی	b oː iː
اې	ɑː eɪ
حللاره	ħ l l ɑː r ɛ
راتلونکی	r ɑ t̪ l o n k i
ماڼۍ	m ɑ ɳ ə i
تنو	t n o
ازادیم	a z aː d iː m
لیرې	l i ɻ e
پوستکي	p w s t̪ k iː
داتمو	d ɑ t m o
غویي	ɣ w ə j i
ساعته	s ɑː ʕ ə t ə
وشي	w o ʂ i
سلطنت	s l ʈ n t
اولس	u l ə s
ګهيځ	ɡ ə h i d͡z
اويا	a w j ɑ
ښځينه	x ə z i n a
یمزه	j ə m z a
زیاتکوی	z iː ɑ t k uː i
زمانېښد	z ə m ɑː n e x d
سبزیو	s b z i ʊ
جن	d͡ʒ ɑ n
باټیک	b ɑ ʈ i k
وخو	w o x o
واټن	w ɑ t n
لاړې	l ɑ r ə
دماغکې	d ə m ɑ ɣ k e
ورکړې	w o r k ɻ ə i̯
مرغړی	m a r ɣ a ɺ̢ a i
پاککیدی	p ɑ k k i d i
۷۳۰	s ɛ v ɛ n θ r i z ɛ r o
منډه	m ə n ɖ a
آسانۍ	ɑ s ɑ n ə i
لوڼو	l o ɳ o
پلازمېنه	p l ɑ z m e n a
امرونوان	a m r o n o ɑ n
ګڼل	ɡ a ɳ ə l
ورزشته	w ə r ʒ ʃ t ə
اوروبوټو	ɑ ʊ r ʊ b ʊ t ʊ
زیانهم	z j ɑ n ɛ h m
ډاډ	ɖ ɑ ɖ
خوټه	x w ə ʈ a
وباسي	w b ɑ s i
لمونځ	l m u n d͡z
ننه	n ə n ə
مساح	m s ɑː ħ
ځمکه	t͡s m k e
وموند	w m u n d
پنځه	p i n d z ə
غاښ	ɣ ɑ x
اواز	ɑ w ɑ z
باران	b ɑ r o m
وکړم	w k ɖ m
کنګال	k a n ɡ ɑ l
لهشکه	l h ʂ k ə
مېله	m e l a
اوسېدل	o s e d ə l
ډبرو	ɖ b ə r o
قوماند	q o m ɑː n d
غور	ɣ o r
ددې	d ə d e
غنم	ɣ a n ə m
بده	b ə d a
ننګ	n ə ŋ ɡ
وده	w ə d̪ ə
وساتی	w s ɑ t i
نيمبو	n i m b u
خورا	x oː r ɑː
شتون	ʃ t̪ w n
خورن	x ɔ ɾ n
مېخ	m e x
اف	ɑː f
اوږه	e ʒ a
زیرمه	z i ɾ m h a
ځړول	ʐ ɻ o l
اوشه	o ʃ a
څنګه	ʈ͡s n ɡ ə
اغیزمنه	ɑ ɣ i z m ʊ n ə
ژره	ʐ r ə
سورپوستکي	s o r p o s t k i
درلودلو	d r l uː d l u
خوله	x w l ə
موټرد	m oː ʈ r d
سل	s ə l
خاندي	x ɑ n d i
ډکه	ɖ k a
یمزه	y m z h
یاد	j ɑː d
کندهار	k a n d̪ a h ɑ r
لامبل	l ɑ m b ə l
هالنډیانو	h ɑ l n ɖ i ɑ n o
مارکیټ	m ɑ r k i ʈ
جالڅخه	d͡ʒ a l t͡s x a
اوبوته	ɑ w b w t̪ ə
شوملې	ʃ o m l e
زیان	z i ɑ n
سلطنت	s ə l t ə n ə t
ختيځ	x a t̪ i d͡z
مسؤل	m ə s ʔ ə l
لوبېدل	l o b e d ə l
قیمتيملغلرې	q i m t̪ i m l ɣ l ə r e
واورې	w ɑ o r e
توازن	t o ɑ z n
پوهیدم	p o h i d ə m
کړئیا	k ɻ ə i ɑ
څرګند	t͡s ə r ɡ ə ŋ d̪
څکه	t͡s ə k a
وه	w h
سبزي	s b z i
سرچینو	s ə r tʃ i n o
شرمښ	ʃ ə r m ə x
کوونکی	k o w o n k i
هډوکو	h ʈ w k w
دادېوالو	d̪ ɑ d̪ e w ɑ l o
اپارتمان	ɑː p ɑː r t m ɑː n
وشي	w ʂ i
پوهیږي	p o h i ʐ i
بښنه	p o x t̪ ə n a
باغته	b ɑ ɣ t ə
ولېږل	w l e ʐ l
دوسته	d o s t ə
انا	a n ɑ
غلوله	ɣ l uː l ə
مياشت	m j ɑ ʃ t̪
درد	d ɾ d
څارویو	t͡s ɑ r o v i o
کمزوری	k m z uː r i
مرغه	m a r ɣ a
ستورڅک	s t o r t͡s a k
دیمن	d iː m n
بی	b i
یخپوښول	j x p o ʂ o l
وګړواکي	w ə ɡ ə ɻ w ɑ k i
ولاړیم	w ə l ɑ r i m
لاندیښمن	l ɑː n d i x m ə n
تخریب	t̪ ə x r iː b
هلک	h a l ə k
وخندل	w x n d l
ځای	d͡z i
داړل	d ɑ ɺ ˞ ə l
دکار	d k ɑ r
والي	w ɑ l i
روسيه	r u s j a
اوږده	ɑ w ʒ d ə
کمولو	k m w l w
اندیښنه	a n d i x n h
ځړول	t͡s ɽ u l
غوښه	ɣ w a x a
مواد	m o ɑ d
غړی	ɣ ə ɽ a ɪ
پراته	p r ɑ t ə
څومره	t͡s u m r a
خل	x ə l
شمسي	ʃ m ʂ i
داسطل	d ɑː s t ə l
اوښسپورچی	ɑ w x s p o r t͡ʃ i
چاکلیټ	t͡ʃ ɑː k l iː ʈ
حکیم	h k i m
لېونۍ	l e w ə n ə i
ارمان	a r m ɑ n
نوی	n ə w a i
زوړ	z o ɻ
نېښو	n e ʂ o
دروازې	d r uː ɑ z e
حیواناتو	x i j w ɑ n ɑ t̪ o
چاقور	t͡ʃ aː q u r
بدپوری	b ə d̪ p o r a ɪ
راټولولو	r ɑ ʈ ʊ l ʊ l ʊ
طبقه	t ɑ b q ə
خېل	x e l
زیانونو	z i ɑ n o n o
ناروغۍ	n ɑ r o ɣ ə i
به	b a
ساري	s ɑː ɾ i
آرام	ɑː r ɑː m
مذهب	m a z a b
يم	j ə m
څونوټ	t͡s o n o ʈ
دویده	d o i d h
مخوېينه	m ə x w e j ə n a
سړي	s ɻ i
در	d a r
مېشت	m e ʃ t̪
واخیستلاړل	w ɑ x i s t l ɑ r ə l
الوتل	a l w ə t ə l
کس	k ə s
اوږد	u ɡ d̪
اوښلرم	a w ʈ͡ʂ l r m
بدبختي	b ə d b x t i
موروه	m o r o w ə h
ولسوالي	w ə l ə s w ɑ l i
حجم	ħ ə d͡ʒ m
خاورې	x ɑ w ə ɾ i
لوستل	l w ə s t̪ ə l
یوروباټ	j o r o b ɑ ʈ
خوښۍ	x o ʂ e
اوساتونکو	ɑ w s ɑ t u n k u
نویمنځ	n w i m n ʒ
تودوخې	t o d o x e
زیانونه	z i ɑ n o n a
منو	m a n o
وغواړی	w ɣ w ɑ ɽ i
سيند	s i n̪ d̪
زده	z d̪ a
اوښانه	ɑ w x ɑ n ə
معدن	m ɑ d̪ ə n
راوړل	r ɑ w ɽ ə l
کول	k a w ə l
تیرید	t iː r iː d
پاي	p ɑ j
کیله	k i l ə
ښامار	x ɑ m ɑ r
برې	b ɾ e
انسانانو	ɑ n s ɑ n ɑ n o
مرغان	m r ɣ ɑ n
رسیږي	r s iː ʒ i
غږونو	ɣ ʐ w n w
ننوست	n n oː s t
معلومه	m a l o m h
غورځولې	ɣ o r ʒ o l e
لېوۀ	l e w ə
غاړی	ɣ ɑ ɻ a i
اوتا	ɑ w t ɑ
ټینګار	t̪ i ŋ ɡ ɑ ɾ
تاو	t ɑ w
موافقه	m w ɑ f ɪ q ə
مشهور	m ʃ h o ɾ
ماشی	m ɑ ʃ i
مفکوره	m f k oː r ə
پلورونکې	p l w r u n k e
اسطل	ɑ s t l
وروڼو	w ə r uː n uː
مېلمه	m e l m a
قانعکړي	q ɑː n ʕ k ə ɻ i
ډیرو	ɖ i r o
ورڅخه	w o r t͡s x ə
آسد	ɑː s d
ورکړحمي	w ɾ k ɾ ʔ h m i
ویښتانو	w i ʂ t ɑ n o
بابا	b ɑ b ɑ
اثر	ʔ ə θ r
بوتله	b oː t l ə
چاکلیټ	t͡ʃ a k l i t
سپیننسواري	s p iː n n s w ɑ r i
تږی	t ʂ i
خبر	x b ə r
ژګاګ	ʒ ɪ ɡ ɑ ɡ
فرانس	f r ɑ ŋ s
تڼۍ	t̪ a ɳ ə i
سو	s o
ښخو	x x o
وکتل	w k t ə l
وګړی	w ə ɡ ə ɻ a i
مېښه	m e x a
نوکرانو	n w k r ɑ n o
بوتله	b u t ə l ə
لوی	l o i
شدت	ʃ ə d ə t
بحر	b ħ r
وييونه	w i j u n a
كوي	k o w i
راتلل	r ɑ t̪ l ə l
ډبلده	ɖ b ə l d ə h
شدی	ʃ d i
خورن	x w r n
کوشلرغونی	k o ʂ l r ɣ o n i
پرواۍ	p r w ɑ e
ووهي	w w ə h i
کوې	k o e
بربنډ	b ə r b ə ŋ ɖ
شونیه	ʃ uː n iː ə
لرئ	l ə r ʔ
تولیدیدل	t o l i d i d ə l
ووړی	w o ɺ ˞ a i
چیو	tʃ iː oː
تر	t r
جن	d͡ʒ n
ښودل	x ʊ d l
مېړۀ	m e ɻ ə
نیول	n i j o l
ملګريه	m l ɡ r iː ə
تماله	t̪ a m ɑ l a
هورې	h u r e
ساینسپوهان	s ɑː j n s p w h ɑː n
شکل	ʃ k ə l
مخ	m ə x
صنعتونو	s n ʕ ə t̪ o n o
کوئ	k w ʔ
مستعمری	m ə s t ʕ m ə r i
زمونږ	z ə m u n ɡ
مو	m u
راوتلی	r aː w t ə l iː
زرګونو	z ə r ɡ uː n o
ګڼ	ɡ a ɳ
مزد	m z d
سبزيجاتو	s b z i d͡ʒ a t u
ځې	d͡z e
کوڅې	k o t͡s e
ړنګې	ɽ n ɡ e
رحم	r a h ə m
ژغورلې	ʐ ɣ o r l ə i̯
سوډان	s o ɖ ɑ n
کور	k o r
بحر	b h r
کوبا	k u b ɑ
رامين	r ɑ m i n
وظیفې	w z i f ɛ
بندید	b n d i d
ماشین	m ɑ ʃ i n
راښکته	r ɑ x k ə t ə
تادې	t ɑː d ə
اوربشې	ɑ w r b ʂ e
څرخیدو	ʈ͡s r x i d w
آفریند	ɑː f r iː n d
اسانۍ	ɑː s ɑː n ə iː
شیانو	ʃ i ɑ n o
انسان	ɑː n s ɑː n
راوړې	r ɑ w r ə
ټینګار	ʈ i n ɡ ɑ r
وي	w i
دروغویل	d ə r o ɣ o w i l
موادو	m w ɑ d w o
آر	ɑ r
تولید	t̪ o l i d̪
دونه	d̪ o n a
خانو	x ɑː n w
جنګول	d ʒ a ŋ ɡ a w ə l
تود	t̪ o d̪
رنګونه	r ə ŋ ɡ u n ə
وویلنه	w w i l n a
ونيو	w n i u
دور	d o r
اندېښمن	ɑ n d̪ e x m n
لاړې	l ɑː ɾ e
ګنډل	ɡ a n ɖ ə l
ډاکو	ɖ ɑ k u
خوري	x ə w r i
صنعت	ʂ n ʕ t
سویلي	s o w i l i
وایي	w ɑ j i
ژبه	ʒ ə b ə
پراخې	p ɾ ɑː x e
کاره	k ɑː r ə
ماهم	m ɑː h ə m
کمې	k m eː
لږوو	l ʐ w ə w
کښت	k x t
واده	w ɑ d ə
تیریدو	t̪ iː ɾ i d w
المانی	a l m ɑ n a i
ومومئ	w ə m o m ə
وتښتېدل	w t x t eː d l
اوښاوخره	ɑ w ə x ɑ w x r a
کلمګ	k l m ɡ
دوسته	d ʊ s t ə
غوښتنه	ɣ w ɔ x t ə n ə
کېو	k eː o
دقیق	d ə q i q
اوښاو	ɑ w x ɑ w
پلورونکو	p l ɔ r ʊ n k ʊ
شور	ʃ uː r
پړانګ	p ɽ ɑ ŋ ɡ
سی	s i
سندرې	s n d r e
ګډوډۍ	g ɖ w ɖ ə i
ناڅاپه	n ɑː ʈʂ ɑː p ə
خور	x o r
المانيا	a l m ɑ n j ɑ
دوام	d o ɑ m
ځمکپوهنه	d͡z m ə k p o h ə n a
بیلګه	b i l ɡ a
ملیون	m l iː uː n
څښتن	ʦ ɑː t n
وينم	w i n ə m
ژو	ʐ o
بېلولو	b e l o l o
پوهان	p o h ɑ n
وويل	w o i l
برج	b r a d͡ʒ
شاته	ʃ ɑː t ə h
کړ	k ə ɻ
مګردا	m ɡ r ə d ɑ
باغوان	b ɑ ɣ w ɑ n
تاسورښتونیوی	t a s w r x t w n i w i
میاشتې	m iː ɑː ʂ t e
نږدې	n i ɡ d e
پوله	p u l a
شک	ʃ k
اوښسپورچی	ɑ w x s p o r t͡ʃ i
تیز	t̪ i z
پوهې	p o h e
پیروي	p i r o i
ځکمی	ʈʂ k ə m i
لاس	l ɑ s
واخیستلاړل	w ɑ x i s t l ɑ ɽ l
اغوستل	a ɣ o s t ə l
ولاړ	w l a ɽ
ورځې	w ə r ʒ e
ايسلنډ	a i s l æ ŋ ɖ
اوسسطل	a w s s t l
شوې	ʃ o w e
انسان	ɑ n s ɑː n
لارې	l ɑ r e
آسانۍ	ɑ s ɑ n ə i
منل	m a n ə l
بادول	b ɑ d a w ə l
بلله	b ə l l ə
کریم	k r iː m
تیریدو	t i ɾ i d u
آیاښوونځي	ɑ j ɑ x w w n ʣ i
ودانۍ	w ɔ d ɑː n ə i
کمزوریتوب	k m z o r i t o b
موندلو	m u n d ə l ə w
وله	w a l a
ساعتونو	s ɑ ʕ t u n u
هرحال	h ə ɾ h ɑ l
وروسته	w o r o s t ə
اوساتونکو	a w s a t u n k u
اپيم	a p i m
ټول	t̪ o l
شمېرپوهنه	ʃ m e r p o h ə n a
ساري	s ɑː r i
ډاډ	ɖ ɑ ɖ
غرمې	ɣ r m e
ځایونو	ʐ ɑː j w n w
ډیرو	ɖ i r o
استول	a s t a w ə l
بلکانټینر	b l k ɑː n t iː n r
باکتریاوې	b ɑ k t r i ɑ w e
غونډیو	ɣ o n d i o
وایم	w ɑ i m
کالي	k ɑ l i
موندل	m u n d̪ ə l
ګاونډیو	ɡ ɑ w n ɖ i w o
عدني	ʕ d̪ n i
لاسه	l ɑ s ə
هرکله	h ə r k ə l ə
حبشې	h ə b ʃ e
مطلب	m t l b
هلکغمجنشو	h ə l k ɣ ə m d͡ʒ n ə ʃ o
یاد	j ɑː d
نیول	n iː u l
آیاسطل	ɑ i ɑ s t̪ l
پاچاهۍ	p ɑ t͡ʃ ɑ h ə i
کېدای	k e d ɑ j
کوچني	k o t͡ʃ n i
پرانستله	p r ɑ n s t l ə
کسوویلزه	k s u w i l z a
ویرهیی	w iː r ə h iː
نولسمې	n o l s ə m e
نسواري	n a s w ɑ r i
غورځول	ɣ o r d͡z a w ə l
مختلفو	m x t l f o
مایو	m ɑ j o
کلک	k l a k
راسې	r ɑ s e
ثابته	θ ɑː b ə t ə
غپول	ɣ a p a w ə l
اخلم	a x l ə m
ډکیو	ɖ k iː oː
ژوندپوهنه	ʒ w a n d p o h ə n a
کړئیا	k ɹ ə iː ɑː
ډکتاج	ɖ k t a ʒ
زرګونو	z ə r ɡ u n o
نظر	n ʕ ə r
ال	ɑ l
پړسوب	p a ɻ s o b
لرګی	l ə r ɡ a i
ټينګ	ʈ i ŋ ɡ
کتلرامين	k t l r a m i n
سفیر	s ə f i ɾ
رول	r o l
مطالعه	m ʊ t ɑː l ʕ ə
اوریدلو	ɑ w r i d l o
وران	w o r ɑː n
خوښبوی	x o ʈ͡ʂ b o i
ډنګر	ɖ a ŋ ɡ ə r
ډکتاج	ɖ k t ɑ ʤ
زیرمه	z i r m ə
مهربانه	m ə h r ə b ɑ n ə
زاګرېب	z ɑ ɡ r e b
ټپاکی	ʈ u p ɑ k a i
زیور	z i j o r
وکاروي	w o k ɑ r o i
لیدلې	l i d ə l e
نڅا	n ə t͡s a
باغ	b o ɣ
ساعتونو	s ɑː ʕ t o n o
کڅوړو	k ʈʂ oː ɖʐ oː
مطالعه	m ə t̪ ɑ l ɛ h ə
غرڅنی	ɣ a r t͡s ə n a i
خوا	x w ɑ
وهي	w ə h i
دانه	d ɑ n a
دروغ	d̪ r o ɣ
سترطبیب	s t r ʈ b iː b
وروورو	w ə r o w ə r o
تیریدو	t̪ iː r iː d w
ورولم	w a r w a l ə m
خونې	x uː n e
وړلی	w r l i
بې	b e
مرغان	m ə r ɣ ɑː n
رنګونه	r n ɡ w n ə
اخلي	ɑ x l i
وویل	w w i l
زهرجنو	z h r ʒ n o
قهر	q ə h r
دلیلونه	d ə l iː l oː n ə
نړیوالو	n ə ɻ iː w ɑː l o
اووه	u w ə
شرمیده	ʃ ə r m i d ə
زوئلا	z w ə l ɑ
حللاره	ħ ə l l ɑ r ə
سطحه	s t̪ x ə
نرکاشه	n ə r k ɑ ʃ a
میږیان	m i ʐ i a n
ګډېدل	ɡ a ɖ e d ə l
وضاحت	w ə z ɑ h ə t
سمیر	s ə m iː ɾ
ځله	ʈʂ l ə
ماښامندا	m ɑ ʂ ɑ m n d ɑ
هګۍ	h ə ɡ ə i
زامبه	z ɑ m b a
نن	n ə n
نېغه	n e ɣ a
