líon	lʲ iː n̪ˠ
fiaclóir	fʲ i ə ˈk l̪ˠ oː ɾʲ
Antóin	a n̪ˠ t̪ˠ oː nʲ
dhe	j ɛ
milseán	mʲ ɪ lʲ ˈʃ aː n̪ˠ
Bealtaine	ˈbʲ a l̪ˠ t̪ˠ ə nʲ ə
umhlú	uː ˈl̪ˠ uː
balsamach	ˈbˠ a lˠ sˠ ə mˠ ə x
bocht	bˠ ɔ x t̪ˠ
ngeall	ɲ a u l̪ˠ
seimint	ˈʃ ɛ mʲ ə nʲ tʲ
iascaire	ˈi ə sˠ k ə ɾʲ ə
agair	ˈa ɡ ə ɾʲ
í	iː
feoigh	fʲ ɔː ɟ
scamhóg	sˠ k ə ˈvˠ oː ɡ
fuaireadar	ˈfˠ u ə ɾˠ ə d̪ˠ ə ɾˠ
gliomach	ɟ lʲ ɨ̞ ˈmˠ a x
tobán	t̪ˠ ə ˈbˠ ɑː n̪ˠ
stail	sˠ t̪ˠ a lʲ
mbeanna	ˈmʲ a n̪ˠ ə
cuntas	ˈk uː n̪ˠ t̪ˠ ə sˠ
chnoc	x n̪ˠ ʊ k
naoi	n̪ˠ iː
Fearghas	fʲ a ˈɾˠ iː sˠ
cibeal	ˈc ɪ bʲ ə l̪ˠ
stollaire	ˈsˠ t̪ˠ ɔ l̪ˠ ə ɾʲ ə
tinte	ˈtʲ ɪ n̠ʲ tʲ ə
chama	ˈx a mˠ ə
teilifís	ˈtʲ ɛ lʲ ɪ fʲ iː ʃ
sciobtha	ˈʃ c ʊ pˠ iː
trínarb	ˈtʲ ɾʲ iː nˠ ə ɾˠ bˠ
fuil	fˠ ɪ lʲ
éigin	ˈeː ɟ ɪ nʲ
tsá	t̪ˠ ɑː
práidhinneach	ˈpˠ ɾˠ aː j i n̠ʲ a x
daill	d̪ˠ ɪ l̠ʲ
bail	bˠ a lʲ
dháréag	ɣ ɑː ˈɾˠ eː ɡ
freagra	ˈfʲ ɾʲ a ɡ ə ɾˠ ə
aithin	ˈa h ə nʲ
guth	ɡ ʊ h
liobar	ˈl̠ʲ ɨ̞ bˠ ə ɾˠ
seomra	ˈʃ oː mˠ ɾˠ ə
dhéanfaí	ˈj iː n fˠ iː
eitre	ˈɛ tʲ ə ɾʲ ə
amhgar	ˈã u ɡ ə ɾˠ
portach	pˠ ə ɾˠ ˈt̪ˠ a x
diucs	ˈdʲ ɯ k s
turadh	ˈt̪ˠ ʊ ɾˠ ə
sáim	sˠ ɑː mʲ
allta	ˈa u l̪ˠ t̪ˠ ə
áisiúil	ˈaː ʃ uː lʲ
mís	mʲ iː ʃ
áirid	ˈɑː ɾʲ ə dʲ
coisin	ˈk ɔ ʃ ɪ nʲ
mholadh	ˈvˠ ɔ lˠ ə
slogaim	ˈsˠ l̪ˠ ɔ ɡ ə mʲ
bligh	bʲ lʲ ɪ ɟ
gamhain	ˈɡ ã u w ə nʲ
mairt	mˠ a ɾˠ tʲ
maraigh	ˈmˠ ɑ ɾˠ ɪ ɟ
bhó	vˠ oː
stopadh	ˈsˠ t̪ˠ ɔ pˠ ə
ngeallann	ˈɲ a l̪ˠ ə n̪ˠ
meallta	ˈmʲ a l̪ˠ t̪ˠ ə
buíocha	ˈbˠ iː x ə
chab	x ɑ bˠ
chugamsa	ˈh ɞ ɡ ə mˠ sˠ ə
gaile	ˈɡ æ lʲ ə
bídeach	ˈbˠ iː dʲ a x
Malaeis	ˈmˠ a lˠ eː ɪ ʃ
Gaelach	ˈɡ eː l̪ˠ ə x
rois	ɾˠ ɔ ʃ
lite	ˈl̠ʲ ɪ tʲ ə
tsluaigh	t̪ˠ l̪ˠ u ə ɟ
rabhthar	ˈɾˠ o w h ə ɾˠ
leacht	l̠ʲ a x t̪ˠ
smearadh	ˈsˠ mʲ a ɾˠ ə
goldar	ˈɡ ʌ l̪ˠ d̪ˠ ə ɾˠ
gradam	ˈɡ ɾˠ ɑ d̪ˠ ə mˠ
cúirialta	k uː ˈɾʲ i ə l̪ˠ t̪ˠ ə
dearmadach	ˈdʲ a ɾˠ ə mˠ ə d̪ˠ ə x
adhmad	ˈə i mˠ ə d̪ˠ
tuig	t̪ˠ ɪ ɟ
póirse	ˈpˠ oː ɾˠ ʃ ə
bhraith	w ɾˠ a
reath	ɾˠ a h
scríobhaim	sˠ c ɾʲ iː mʲ
amharc	ˈa vˠ ə ɾˠ k
báis	bˠ ɑː ʃ
gúnga	ˈɡ ɾˠ uː ŋ ɡ ə
sodhantach	ˈsˠ oː n̪ˠ t̪ˠ a x
Aindriú	ˈa nʲ ɾʲ uː
gcúinne	ˈɡ uː n̠ʲ ə
gleo	ɟ lʲ oː
cluinfidh	ˈk lˠ ɨ̞ nʲ h ə
claonadh	ˈk l̪ˠ eː n̪ˠ ə
dúnmharú	ˈd̪ˠ uː n̪ˠ vˠ a ɾˠ uː
prás	pˠ ɾˠ ɑː sˠ
doire	ˈd̪ˠ ɛ ɾʲ ə
uasghrádaigh	u ə sˠ ˈɣ ɾˠ ɑː d̪ˠ ɪ ɟ
fothain	ˈfˠ ɪ h ə nʲ
lítear	ˈl̠ʲ iː tʲ ə ɾˠ
cloisteáil	ˈk lˠ ɔ ʃ tʲ ɑː lʲ
pince	ˈpʲ ɪ ɲ c ɪ
lianna	ˈl̠ʲ i ə n̪ˠ ə
báine	ˈbˠ ɑː nʲ ə
Rinne	ˈɾˠ ɪ n̠ʲ ə
éagrábhadh	ˈeː k ɾˠ ɑː vˠ
baintrí	ˈbˠ æ n̠ʲ tʲ ɾʲ ə i̯
tamall	ˈt̪ˠ ɑ mˠ ə l̪ˠ
ainmneacha	ˈa nʲ ə mʲ nʲ ə x ə
deinim	ˈdʲ ɛ nʲ ɪ mʲ
meaingeal	ˈm æ ɲ ɟ ə l
báisteach	ˈbˠ ɑː ʃ tʲ ə x
leis	l̠ʲ ɛ ʃ
aistritheoir	ˈa ʃ tʲ ɾʲ ə h oː ɾʲ
samhlaigh	ˈsˠ ə u l̪ˠ ə
fearr	fʲ ɑː ɾˠ
bhéarfá	ˈvʲ eː ɾˠ ɑː
cáiliúil	k ɑː ˈlʲ uː lʲ
sábhálfaidh	ˈsˠ aː w a lˠ ə
mún	mˠ uː n̪ˠ
faighfeá	ˈfˠ a i ɑː
agad	ˈa ɡ ə d̪ˠ
síleáil	ʃ iː lʲ aː lʲ
litir	ˈlʲ ɪ tʲ ə ɾʲ
cam	k a u mˠ
folamh	ˈfˠ ɔ l̪ˠ ə vˠ
bácáil	bˠ ɑː ˈk ɑː lʲ
cúntóir	ˈk uː nˠ t̪ˠ oː ɾʲ
Catalóinis	ˈk a tˠ ə l̪ˠ oː nʲ ə ʃ
eangach	ˈa ŋ ɡ ə x
soineanta	ˈsˠ ɪ nʲ ə n̪ˠ t̪ˠ ə
Gaedhilge	ˈɡ eː lʲ ɟ ə
mairnéalach	ˈmˠ aː ɾˠ n̠ʲ a lˠ a x
ngearradh	ˈɲ a ɾˠ ə
cafarr	ˈk a fˠ ə ɾˠ
dhínne	ˈj iː n̠ʲ ə
ligean	ˈlʲ ɪ ɟ ə n̪ˠ
crosóg	k ɾˠ ə ˈsˠ oː ɡ
bille	ˈbʲ ɪ lʲ ə
stócáil	ˈsˠ t̪ˠ oː k ɑː lʲ
gróigeán	ˈk ɾˠ ɔː ɟ a nˠ
fillfir	ˈfʲ iː lʲ h ə rʲ
Fionn	fʲ ũː n̪ˠ
gríobh	ˈɟ ɾʲ iː w
cruach	k ɾˠ u ə x
straidhn	sˠ t̪ˠ ɾˠ ɑ i nʲ
bacáil	ˈbˠ a k æ lʲ
leafaos	ˈlʲ a ˈfˠ eː sˠ
aniar	ə ˈn̠ʲ i ə ɾˠ
gamal	ˈɡ a mˠ ə l̪ˠ
cheas	ç a sˠ
cuideog	ˈk ɪ tʲ a ɡ
cloigeann	ˈk lˠ ɛ ɟ ə n̪ˠ
aghaidh	ə i ɟ
úsáideoirí	uː ˈsˠ ɑː dʲ oː ɾʲ iː
seinm	ˈʃ ɛ nʲ ə mʲ
caoga	ˈk eː ɡ ə
héis	h eː ʃ
buntáiste	bˠ ə n̪ˠ ˈt̪ˠ ɑː ʃ tʲ ə
neimheadh	ˈnʲ ɛ vʲ ə
aithníodh	ˈa h nʲ iː ɡ
bheifeá	ˈvʲ ɛ h ɑː
fhagháilt	ɑː lʲ tʲ
nEoin	n̠ʲ oː nʲ
ghobadh	ˈɣ ɔ bˠ ə
béas	bʲ iː a̯ sˠ
lúbaim	ˈl̪ˠ uː bˠ ə mʲ
meisce	ˈmʲ ɛ ʃ c ɪ
smólach	ˈsˠ mˠ oː l̪ˠ ə x
dona	ˈd̪ˠ ɔ n̪ˠ ə
ceo	c oː
buí	bˠ iː
obair	ˈɔ bˠ ə ɾʲ
airde	ˈɑː ɾˠ dʲ ə
bláthmhar	ˈbˠ lˠ ɑː fˠ ə ɾˠ
caladh	ˈk ɑ l̪ˠ ə
fhreagair	ˈɾʲ a ɡ ə ɾʲ
díchéillí	ˈdʲ iː ˌç eː l̠ʲ iː
Pádraig	ˈpˠ ɑː d̪ˠ ə ɾˠ ɪ ɟ
chuicise	ˈh ɛ c ɪ ʃ ə
téigh	tʲ eː ɟ
stoptha	s ˈt̪ˠ ɔ pˠ ə
rialta	ˈɾˠ i ə l̪ˠ t̪ˠ ə
iompair	ˈʊ mˠ pˠ ə ɾʲ
mear	mʲ a ɾˠ
d'éalaigh	ˈdʲ i a l̪ˠ ɪ ɟ
bairéad	bˠ a ˈɾʲ eː d̪ˠ
lón	l̪ˠ oː n̪ˠ
ndiaidh	n̠ʲ i ə
cearnóga	c aː ɾˠ ˈn̪ˠ oː ɡ ə
paidreacha	ˈpˠ a dʲ ə ɾʲ ə x ə
cuiseog	k ə ˈʃ oː ɡ
poill	pˠ ə i l̠ʲ
sheaicéad	h a ˈc eː d̪ˠ
anamacha	ˈa nˠ ə mˠ ə x ə
maratón	mˠ ɑ ɾˠ ə ˈt̪ˠ oː n̪ˠ
d'fhógair	ˈd̪ˠ oː ɡ ə ɾʲ
línéadach	lʲ iː ˈnʲ iː a̯ d̪ˠ ə x
pobalscoil	ˈpˠ ɔ bˠ ə lˠ ˌsˠ k ɛ lʲ
goileann	ˈɡ ɛ lʲ ə n̪ˠ
Airméinis	ˈa ɾʲ ə mʲ eː nʲ ə ʃ
éar	eː ɾˠ
chéibh	ˈç eː vʲ
caiple	ˈk a pʲ lʲ ə
amparán	ˌa u m pˠ ə ˈɾˠ ɑː n̪ˠ
gréisceach	ˈɟ ɾʲ eː ʃ c ə x
bunadh	ˈbˠ ʊ n̪ˠ ə
glóire	ˈɡ lˠ oː ɾʲ ə
déanach	ˈdʲ eː n̪ˠ ə x
ionadaí	ˈi . ɴˠ ə . dˠ iː
sibhse	ʃ ɪ vʲ ʃ ə
stróic	sˠ t̪ˠ ɾˠ oː c
nG	ŋ
dealg	ˈdʲ a l̪ˠ ə ɡ
géagach	ˈɟ eː ɡ ə x
fuáil	fˠ uː ˈɑː lʲ
fúithi	ˈfˠ ʊ h ə
sa	sˠ ə
éileamh	ˈeː lʲ uː
corrú	k ɔ ˈɾˠ uː
amharclann	ˈə u ɾˠ k lˠ ə n̪ˠ
áille	ˈɑː l̠ʲ ə
pór	pˠ oː ɾˠ
béic	bʲ eː c
sil	ʃ ɪ lʲ
hálainn	ˈh ɑː l̪ˠ ɪ ɲ
ligthe	ˈl̠ʲ ɪ c ɪ
Tomás	t̪ˠ ə ˈmˠ ɑː sˠ
draíochta	ˈd̪ˠ ɾˠ i ə x t̪ˠ ə
griandó	ˈɟ ɾʲ i ə n̪ˠ ˌd̪ˠ oː
maithe	ˈmˠ a h ə
dímheas	ˈdʲ ĩː vʲ a sˠ
piont	ˈpʲ uː n̪ˠ t̪ˠ
clóscríobhaithe	ˈk lˠ oː ʃ c ɾʲ iː w iː
cáinfidh	ˈk aː nʲ h ə
mearadh	ˈmʲ a ɾˠ ə
aibhneacha	ˈa vʲ nʲ ə x ə
brac	bˠ ɾˠ a k
iníon	ɪ ˈnʲ iː n̪ˠ
diúil	dʲ uː lʲ
airí	ˈæ ɾʲ i
clog	k l̪ˠ ɔ ɡ
fút	fˠ uː t̪ˠ
adhlacadh	ˈʌ lˠ k u
snaidhm	sˠ n̪ˠ iː mʲ
cat	k ɑ t̪ˠ
gealt	ɟ a l̪ˠ t̪ˠ
brobh	bˠ ɾˠ ɔ vˠ
gabha	ˈɡ ə u . ə
breoite	ˈbʲ ɾʲ oː tʲ ə
aithint	a n̠ʲ tʲ
lúb	l̪ˠ uː bˠ
gleann	ɟ lʲ ɑ u n̪ˠ
bhíothas	ˈvʲ iː h ə sˠ
ceamach	ˈc ɨ̞ mˠ a x
ósta	ˈoː sˠ t̪ˠ ə
fos	fˠ ɔ sˠ
íseal	ˈiː ʃ ə l̪ˠ
pite	ˈpʲ ɪ tʲ ə
ciseal	ˈc ɪ ʃ ə lˠ
luite	ˈl̪ˠ ɪ tʲ ə
rainnt	ɾˠ ɑ i nʲ tʲ
chuathas	ˈx u ə h ə sˠ
foireann	ˈfˠ ɪ ɾʲ ə n̪ˠ
bradach	ˈbˠ ɾˠ ɑ d̪ˠ ə x
blífidh	ˈbʲ lʲ i h ə
blitear	ˈbʲ lʲ ɪ tʲ ə ɾˠ
aisteoir	ə ˈʃ tʲ oː ɾʲ
péacógach	pʲ eː ˈk oː ɡ ə x
folt	fˠ ɞ l̪ˠ t̪ˠ
ban	bˠ a nˠ
óstach	ˈoː sˠ t̪ˠ ə x
gram	ˈɡ ɾˠ a mˠ
comhionann	ˈk ũ . a nˠ ə n̪ˠ
hÉirinn	ˈh eː ɾʲ ə n̠ʲ
spaisteoireacht	sˠ pˠ æ ʃ ˈtʲ oː ɾʲ ə x t̪ˠ
pingin	ˈpʲ ɪ ɲ ɟ ə nʲ
Eadáine	ˈa d̪ˠ ɑː n̠ʲ ə
neosad	ˈnʲ oː sˠ ə d̪ˠ
éadmhar	ˈeː d̪ˠ u ɾˠ
astusan	ˈɑ sˠ t̪ˠ ə pˠ sˠ ə n
hata	ˈh ɑ t̪ˠ ə
sagart	ˈsˠ ɑ ɡ ə ɾˠ t̪ˠ
dearg	ˈdʲ a ɾˠ ə ɡ
toighte	ˈt̪ˠ ɨ̞ tʲ ə
folláin	fˠ ə ˈl̪ˠ ɑː nʲ
asainn	ˈa sˠ ə n̠ʲ
díog	ˈdʲ iː ɡ
tromán	t̪ˠ ɾˠ ə ˈmˠ ɑː n̪ˠ
thuaidh	h u ə ɟ
dromán	d̪ˠ ɾ ə ˈmˠ ɑː n̪ˠ
giorria	ˈɟ ɪ ɾˠ i ə
tiomáin	tʲ ə ˈmˠ ɑː nʲ
slisne	ˈʃ l̠ʲ ɪ ʃ n̠ʲ ə
feá	fʲ aː
eicínt	ə ˈc iː n̠ʲ tʲ
fairsingeachas	ˈfˠ a ɾˠ sˠ n̠ʲ a x ə sˠ
clúmh	k l̪ˠ uː vˠ
soirbhigh	ˈsˠ ɛ ɾʲ ə vʲ i
deirge	ˈdʲ ɛ ɾʲ ɪ ɟ ɪ
teastas	ˈtʲ a sˠ t̪ˠ ə sˠ
miúil	mʲ uː lʲ
gceilt	ɟ ɛ lʲ tʲ
práinneach	ˈpˠ ɾˠ aː j i n̠ʲ a x
gairm	ˈɡ a ɾʲ ə mʲ
sceitimíní	sˠ c ɛ tʲ ə ˈmʲ iː nʲ iː
múnaid	ˈmˠ uː n̪ˠ ə dʲ
dharna	ˈɣ ɑː ɾˠ n̪ˠ ə
acaiseach	ˈæ k ə ʃ ə x
anchroí	ˈɑ n x ɾˠ ə
brisfidh	ˈbʲ ɾʲ ɪ ʃ ə
chasta	ˈx ɑ sˠ t̪ˠ ə
bíobhanta	ˈbʲ iː w i ə n̪ˠ t̪ˠ ə
luach	l̪ˠ u ə x
déarfad	ˈdʲ eː ɾˠ h ə d̪ˠ
thuilleamar	ˈh ɪ l̠ʲ ə mˠ ə ɾˠ
dóim	d̪ˠ oː mʲ
téann	tʲ eː n̪ˠ
bhealach	vʲ ə ˈl̪ˠ ɑ x
sé	ʃ eː
aeróstach	eː ɾˠ ˈoː sˠ t̪ˠ ə x
Seosamh	ˈʃ oː sˠ ə vˠ
eim	ɛ mʲ
chéim	ç eː mʲ
thraoith	ˈh ɾˠ iː
taspáin	t̪ ə ˈs pˠ ɑː nʲ
altfadh	ˈa l̪ˠ t̪ˠ ə x
dearnadar	ˈdʲ aː ɾˠ n̪ˠ ə d̪ˠ ə ɾˠ
dia	dʲ i ə
cultúr	k ʊ l̪ˠ ˈt̪ˠ uː ɾˠ
acht	ɑ x t̪ˠ
bonnán	ˈbˠ u n̪ˠ ɑː nˠ
coireach	ˈk ɨ̞ ɾˠ h a x
piana	ˈpʲ i ə nˠ ə
muis	ˈmˠ ɪ ʃ
bandach	ˈbˠ ɑ n̪ˠ d̪ˠ ə x
ára	ˈɑː ɾˠ ə
pioc	pʲ ʊ k
shnámh	h n̪ˠ ɑː vˠ
leamhnacht	ˈlʲ a u n̪ˠ ə x t̪ˠ
amháin	ə ˈvˠ ɑː nʲ
fágann	ˈfˠ ɑː ɡ ə n̪ˠ
éineacht	ʲeː nʲ ə x t̪ˠ
culaith	k l̪ˠ ɪ h
farc	fˠ a ɾˠ k
péatar	ˈpʲ eː t̪ˠ ə ɾˠ
tréith	tʲ ɾʲ eː
fhágaint	ˈɑː ɡ ə nʲ tʲ
tSín	tʲ iː nʲ
díslí	ˈdʲ iː ʃ l̠ʲ iː
aidmhigh	ˈæ dʲ i
beir	bʲ ɛ ɾʲ
Polainnis	ˈpˠ ɔ l̪ˠ ə n̠ʲ ɪ ʃ
dtiocfá	ˈdʲ ʊ k fˠ ɑː
ponc	pˠ ʊ ŋ k
tollfaidh	ˈt̪ˠ ʌ l̪ˠ h i
fhuinneoig	ə ˈɲ oː ɟ
fána	ˈfˠ ɑː n̪ˠ ə
fásach	ˈfˠ ɑː sˠ ə x
bríomhar	ˈbʲ ɾʲ iː vˠ ə ɾˠ
socraigh	ˈsˠ ɔ k ɾˠ ɪ ɟ
seang	ˈʃ a n̪ˠ ə ɡ
clibirt	ˈc lʲ ɪ bʲ ə ɾˠ tʲ
píoba	ˈpʲ iː bˠ ə
ghearrtaí	j aː ɾˠ ˈt̪ˠ iː
cuimhnigh	ˈk iː nʲ ɪ ɟ
máistreás	mˠ ɑː ʃ ˈtʲ ɾʲ ɑː sˠ
bearna	ˈbʲ ɑː ɾˠ n̪ˠ ə
airgeadúla	a ɾʲ ɪ ɟ ə ˈd̪ˠ uː lˠ ə
Nollaig	ˈn̪ˠ ɔ l̪ˠ ɪ ɟ
Albanach	ˈa lˠ ə bˠ ə nˠ ə x
cuimhniú	ˈk iː mʲ ɾʲ uː
las	l̪ˠ a sˠ
Gaeil	ɡ eː lʲ
bánaigh	ˈbˠ ɑː n̪ˠ ɪ ɟ
liom	lʲ ʊ mˠ
dáta	ˈd̪ˠ ɑː t̪ˠ ə
sleá	ˈʃ l̠ʲ ɑː
srón	sˠ ɾˠ oː nˠ
tabhartha	ˈt̪ˠ uː ɾˠ h ə
mhuirnín	vˠ uː ɾˠ ˈnʲ iː nʲ
ithir	ˈɪ h ə ɾʲ
gróig	ˈk ɾˠ ɔː ɟ
airne	ˈɑː ɾˠ n̠ʲ ə
déanas	ˈdʲ iː n ə sˠ
tairseach	ˈt̪ˠ ɔ ɾˠ sˠ a x
tlú	t̪ˠ l̪ˠ uː
binse	ˈbʲ ɛ n̠ʲ ʃ ə
Bascais	ˈbˠ a sˠ k ə ʃ
bréagach	ˈbʲ ɾʲ i a ɡ ə x
fharraige	ˈa ɾˠ ə ɟ ɪ
let	lʲ ɛ t̪ˠ
bhfeis	vʲ ɛ ʃ
uncail	ˈʊ ŋ k ə lʲ
creidte	ˈc ɾʲ ɛ tʲ ə
maidne	ˈmˠ æ n̠ʲ ə
cinnire	ˈc ɪ n̠ʲ ə ɾʲ ə
bealaigh	ˈbʲ a l̪ˠ ɪ ɟ
stua	sˠ t̪ˠ u ə
anonn	ə ˈn uː n̪ˠ
billiún	ˈbʲ i l̠ʲ uː nˠ
neoin	n̠ʲ oː nʲ
fuarthas	fʲ ɾʲ iː vˠ
scór	sˠ k oː ɾˠ
sailchuach	sˠ a lˠ ˈx u ə x
dhínn	j iː n̠ʲ
tóigeáil	ˈt̪ˠ oː ɟ ɑː lʲ
Nóra	ˈn̪ˠ oː ɾˠ ə
laghdaigh	ˈl̪ˠ eː d̪ˠ i
ail	a lʲ
dóighiúil	ˈd̪ˠ ɔː j u lʲ
badráil	bˠ ɑ d̪ˠ ˈɾˠ ɑː lʲ
deich	dʲ ɛ ç
tulach	t u l ə x
lochta	ˈl̪ˠ ɔ x t̪ˠ ə
míghreann	ˈmʲ iː ɾʲ ə n̪ˠ
calrach	ˈk a l̪ˠ ɾˠ ə x
tibhe	ˈtʲ ɪ vʲ ə
géag	ɟ iː a̯ ɡ
tiomsú	ˈtʲ ɨ̞ mˠ sˠ u
grean	ɟ ɾʲ a n̪ˠ
dochreidte	d̪ˠ ɔ ˈç ɾʲ ɛ tʲ ə
fianaise	ˈfʲ i ə n̪ˠ ə ʃ
amárach	ə ˈmˠ ɑː ɾˠ ə x
can	k a n̪ˠ
dramanna	ˈd̪ˠ ɾˠ a mˠ ə n̪ˠ iː
dhom	ɣ ɔ mˠ
ina	ˈɪ nˠ ə
suím	sˠ iː mʲ
gcéibheanna	ˈɟ eː vʲ ə n̪ˠ iː
áiteamh	ˈɑː tʲ ə vˠ
gcairde	ˈɡ ɑː ɾˠ dʲ ə
síl	ʃ iː lʲ
cigil	ˈc ɪ ɟ ɪ lʲ
abarthach	ˈa bˠ ə ɾˠ ə x
siopa	ˈʃ ɯ pˠ ə
meaisín	mʲ ə ˈʃ iː nʲ
dúshlán	ˈd̪ˠ uː l̪ˠ a nˠ
craicne	ˈk ɾˠ æ c nʲ ə
dos	d̪ˠ ɔ sˠ
cuing	k iː ɲ ɟ
báille	ˈbˠ ɑː l̠ʲ ə
glacfaidh	ˈɡ lˠ a k ə
d'fhuafaí	ˈd̪ˠ u ə fʲ i
rialtas	ˈɾˠ i ə l̪ˠ t̪ˠ ə sˠ
gcurach	ɡ ə ˈɾˠ a x
bí	bʲ iː
phus	fˠ ʊ sˠ
linne	ˈlʲ ɪ n̠ʲ ə
iarraidh	ˈi ə ɾˠ ɪ ɟ
amuigh	ə ˈmˠ ɪ ɟ
eich	ɛ ç
tráthnóna	t̪ˠ ɾˠ ɑː n̪ˠ ˈh oː n̪ˠ ə
spleáchas	ˈsˠ pʲ lʲ aː x ə sˠ
ciúin	c uː nʲ
bhinde	ˈvʲ ɪ n̠ʲ dʲ ə
corrlach	ˈk ɔ ɾˠ l̪ˠ a x
taobh	t̪ˠ eː vˠ
ciglis	ˈc ɪ ɟ ɪ lʲ ə ʃ
sciúlán	ʃ c uː ˈl̪ˠ ɑː n̪ˠ
rugadh	ˈɾˠ ʊ ɡ ə ɡ
eilit	ˈɛ h lʲ ə dʲ
gníomh	ɟ nʲ iː vˠ
cóngar	ˈk uː ŋ ɡ ə ɾˠ
snag	sˠ n̪ˠ a ɡ
chaol	x eː l̪ˠ
eadrainne	ˈaː t̪ˠ ɾˠ ə n̠ʲ ə
Connacht	ˈk ɔ n̪ˠ ə x t̪ˠ
tuaisceart	ˈt̪ˠ u ə ʃ c ə ɾˠ t̪ˠ
tarraingím	ˈt̪ˠ a ɾʲ ɪ ɟ iː mʲ
troithe	ˈt̪ˠ ɾˠ ɪ h ə
camall	ˈk a mˠ ə l̪ˠ
Meireacá	ˈmʲ ɛ ɾʲ ə k ɑː
leathanach	ˈl̠ʲ a h ə nˠ ə x
bpéin	bʲ eː nʲ
sheanléim	ˈh æ n̠ʲ l̠ʲ eː mʲ
maiseach	ˈmˠ a ʃ ə x
brionglóid	ˈbʲ ɾʲ ɪ ŋ lˠ oː dʲ
scrios	sˠ c ɾʲ ɨ̞ sˠ
paindéim	pˠ a nʲ . dʲ eː mʲ
oirim	ˈɪ ɾʲ ə mʲ
Giúdach	ˈɟ uː d̪ˠ ə x
fórsa	ˈfˠ oː ɾˠ sˠ ə
fara	ˈfˠ a ɾˠ ə
críon	c ɾʲ iː nˠ
cotadh	ˈk ɔ t u
chead	ç a d̪ˠ
mhadadh	ˈw a d̪ˠ ə
gliogar	ˈɟ lʲ ɪ ɡ ə ɾˠ
soicind	ˈsˠ ɛ c ə nʲ dʲ
carria	ˈk a ɾˠ i ə
bháis	vˠ ɑː ʃ
coiste	ˈk ɔ ʃ tʲ ə
d'iarr	dʲ i ə ɾˠ
ailse	ˈæ l̠ʲ ʃ ə
fhéar	eː ɾˠ
fadhbanna	ˈfˠ ə i bˠ ə n̪ˠ ə
ciallmhar	ˈc i ə l̪ˠ vˠ ə ɾˠ
gearrtha	ˈɟ aː ɾˠ h ə
cúigiú	k uː ˈɟ uː
tsuim	t̪ˠ a i mʲ
daid	ˈd̪ˠ a dʲ
tharlaigh	ˈh ɑ ɾˠ l̪ˠ ɪ ɟ
timpeall	ˈtʲ iː mˠ pˠ ə l̪ˠ
ceathrúnaí	ˈc æː ɾˠ uː n̪ˠ iː
baineann	ˈbˠ ɪ ɾʲ ə n̪ˠ
choillte	ˈx iː lʲ tʲ ə
iomarcach	ˈʊ mˠ ə ɾˠ k ə x
saor	sˠ eː ɾˠ
suipéar	sˠ ɪ ˈpʲ eː ɾˠ
cogain	ˈk ɔ ɡ ə nʲ
líne	ˈl̠ʲ iː nʲ ə
éadroma	ˈiː a̯ d̪ˠ ə ɾˠ ə mˠ ə
teithim	ˈtʲ ɛ h ə mʲ
murnán	mˠ uː ɾˠ ˈn̪ˠ aː n̪ˠ
damnaigh	ˈd̪ˠ ɑ mˠ ə n̪ˠ ɪ ɟ
bhróin	vˠ ɾˠ oː nʲ
faochóg	ˈfˠ iː x ɔ ɡ
maíomh	mˠ iː vˠ
Catalóin	k a tˠ ə ˈl̪ˠ oː nʲ
breabadh	ˈbʲ ɾʲ a bˠ ə
cian	c i ə nˠ
bláthanna	ˈbˠ l̪ˠ ɑː h ə n̪ˠ ə
cársán	ˈk ʌ ɾˠ sˠ a nˠ
caithfidh	ˈk a h ə
cluinim	ˈk lˠ ɨ̞ nʲ ə mˠ
gréasán	ɟ ɾ i a ˈsˠ ɑː n̪ˠ
saibhre	ˈsˠ ɛ vʲ ɾʲ ə
cuntais	ˈk uː n̪ˠ t̪ˠ ə ʃ
siúinéir	ˈʃ uː nʲ eː ɾʲ
rinneas	ˈɾˠ ɪ n̠ʲ ə sˠ
riail	ɾˠ i ə lʲ
dada	ˈd̪ˠ a d̪ˠ ə
broslú	ˈbˠ ɾˠ ɔ sˠ l̪ˠ u
litriú	lʲ ə tʲ ə ˈɾʲ uː
seanmóntaidhe	ˈʃ a nˠ ə mˠ a n̪ˠ t̪ˠ i
sciobaim	ˈsˠ c ɪ bˠ ə mʲ
ormsa	ˈɔ ɾˠ ə mˠ sˠ ə
frisnéiseach	ˈfʲ ɾʲ ɪ ʃ n̠ʲ æ ʃ a x
riugadar	ɾʲ ʊ ɡ ə d̪ˠ ə ɾˠ
córam	ˈk oː ɾˠ ə mˠ
créacht	c ɾʲ eː x t̪ˠ
caoinfidh	ˈk iː nʲ h ə
comhla	ˈk õː l̪ˠ ə
diúracas	ˈdʲ uː ɾˠ ə k ə sˠ
leáigh	lʲ ɑː ɟ
chlé	ç lʲ eː
sneachtúil	ʃ nʲ a x ˈt̪ˠ uː lʲ
léise	ˈl eː ʃ ə
éirigh	ˈə i ɾʲ ɪ ɟ
tinnis	ˈtʲ ɪ n̠ʲ ə ʃ
mboicht	mˠ ɔ x tʲ
pinginí	pʲ ɪ ɲ ə ˈnʲ iː
